arquivo,verdadeiro,predito
new0001.png,RANCID,RARIch
new0002.png,GORiLLaZ,GoRiLZZ
new0003.png,HOEK,HOEK
new0004.png,KibbER,kiLeR
new0005.png,KaDOOGAN,KaDOOGAN
new0006.png,DOG,DeG
new0007.png,MaD,Mad
new0008.png,RepublicR,Republic
new0009.png,TUPAC,Turac
new0010.png,SHAKUR,ShaKUR
new0011.png,1971,1971
new0012.png,-1996,1196
new0013.png,ICECUBE,ICECUBE
new0014.png,BOW,Bow
new0015.png,DOWN,DOWN
new0016.png,HAPPY,HAPPY
new0017.png,BIRTHDAY,BIRTHDAY
new0018.png,MADI,MADI
new0019.png,THRASHER,Thrasher
new0020.png,BUTTHOLE,bUTTHOlE
new0021.png,SURFERS,SURFERS
new0022.png,CONIGLIO'S,CCONIGLIOS
new0023.png,CONIGLIO'S,Coniglios
new0024.png,Coniglial,Coniiylia
new0025.png,GODZILLA,GODZILA
new0026.png,GREEN,GRREEN
new0027.png,DAY,BAY
new0028.png,!,b
new0029.png,?,2
new0030.png,planting,planting
new0031.png,seeds,seeds
new0032.png,bella,bella
new0033.png,estilosa,estilosa
new0034.png,esmalteria,esmalteria
new0035.png,stay,stay
new0036.png,positive,rositive
new0037.png,GEEK,GEek
new0038.png,T-,I
new0039.png,REX,REX
new0040.png,Fanta,fanta
new0041.png,Fanta,faataaa
new0042.png,J'APORE,JADORE
new0043.png,LE,LE
new0044.png,ROCK,ROCK
new0045.png,ROLL,roLL
new0046.png,Brooklyn,Brooklyn
new0047.png,N,N
new0048.png,CHASER,Chasl2
new0049.png,$,I
new0050.png,COFFEE,coffer
new0051.png,IS,IS
new0052.png,Love,Yove
new0053.png,MY,MY
new0054.png,Language,Canguag
new0055.png,Freeform,Freeform
new0056.png,GIRAFFE,GIRAFFE
new0057.png,DONUTS,donuts
new0058.png,CO.,Co
new0059.png,PETS,Peil
new0060.png,UAE,UAE
new0061.png,TERROR,Terror
new0062.png,GRUPPE,GRUDPE
new0063.png,NON,non
new0064.png,STOP,she
new0065.png,Back,Back
new0066.png,Come,Come
new0067.png,Gotta,Gotta
new0068.png,Hanging,Hanging
new0069.png,Because,Because
new0070.png,The,The
new0071.png,Stop,Stop
new0072.png,Around,Arund
new0073.png,Waiting,Waiting
new0074.png,Hurts,Hurts
new0075.png,EI,El
new0076.png,Pollo,Poll
new0077.png,LocoR,Loco
new0078.png,TM,TM
new0079.png,C,C
new0080.png,C,C
new0081.png,CHUCK,CHUCK
new0082.png,E,E
new0083.png,CHEESE'S,CHEESES
new0084.png,Disney,Disnep
new0085.png,YOURSELF,YOURSILS
new0086.png,ENTEP,ENTEP
new0087.png,DiSNEp,Disuep
new0088.png,store,store
new0089.png,XIT,K17
new0090.png,BE,BE
new0091.png,FAMILY,FAMILY
new0092.png,PEARL,NALL
new0093.png,Vitalogy,Vitalogy
new0094.png,JAM,Jan
new0095.png,WILD,WILD
new0096.png,THING,THING
new0097.png,ColoR,C
new0098.png,HaiR,Gnz
new0099.png,TWILIGHT,TWILIGHT
new0100.png,ZONE,ZONE
new0101.png,TOWER,TOWER
new0102.png,TM,TM
new0103.png,OF,of
new0104.png,TERROR,TERROR
new0105.png,Welcome,Welrame
new0106.png,Los,Los
new0107.png,Rive,Rive
new0108.png,to,to
new0109.png,Angeles,Hugnles
new0110.png,gauche,Guuche
new0111.png,SEJA,Seja
new0112.png,LUZ,Luz
new0113.png,PAULA,paula
new0114.png,.Ferme,Ferme
new0115.png,"Milk,Milk
new0116.png,et,et
new0117.png,Bouse".,Bousel
new0118.png,YMPE,YMPE
new0119.png,RAVeN,RAven
new0120.png,INKHEAD!,INHIEAD
new0121.png,TASTY,Tasty
new0122.png,KETCH,KETCH
new0123.png,UP,UP
new0124.png,EASTFOOD,FASTTOOD
new0125.png,Catarina,Cotaring
new0126.png,STAY,the
new0127.png,WEIRD,the
new0128.png,NY,by
new0129.png,STAY,stay
new0130.png,WEIRD,WEIRD
new0131.png,I,I
new0132.png,MARILYN,MARILYN
new0133.png,MANSON,MANSON
new0134.png,ALABAMA,ALABAME
new0135.png,TEXAS,TEXAS
new0136.png,YS.,YS
new0137.png,LOVE,IoME
new0138.png,Iharvestbro,I
new0139.png,Ittais,I
new0140.png,Studia,Studaa
new0141.png,WELCOME,WELCOMED
new0142.png,HOBAR,hounaa
new0143.png,HOBNHKW,HORWHKK
new0144.png,KOMEKUNR,ahe
new0145.png,NEW,a
new0146.png,WOW!,Nlw
new0147.png,NEW,NEW
new0148.png,COLLECTION,COLLECTION
new0149.png,Black,Black
new0150.png,Pink,Pink
new0151.png,METALLICA,METALLICA
new0152.png,M&Q,MaC
new0153.png,JOHNSON,JOHNSON
new0154.png,MOTORS,MOTORS
new0155.png,WOODPECKER,WOODPECKER
new0156.png,NOT,NOT
new0157.png,TODAY,TODAY
new0158.png,SATAN,SaTan
new0159.png,JOHNSON,JoHNSON
new0160.png,MOTORS,MOTORS
new0161.png,WOODPECKER,WOODPECKER
new0162.png,TIMMY,Timmy
new0163.png,AND,AND
new0164.png,LOROS,LOINS
new0165.png,WORLD,WORLD
new0166.png,UNDER,UNDER
new0167.png,WORLD,WORLD
new0168.png,TOUR,TOUR
new0169.png,Conan,Conan
new0170.png,Cafe,Cafe
new0171.png,CONAN,CONAN
new0172.png,BONA,BONA
new0173.png,PIZZA,PGZA
new0174.png,BONA,BONA
new0175.png,BONA,BONA
new0176.png,PIZZA,PIZZA
new0177.png,TAKE,TAKE
new0178.png,the,the
new0179.png,LEAD,LEAr
new0180.png,KURT,KuRt
new0181.png,BALLOONS,BALLOWNS
new0182.png,By,by
new0183.png,Vika,Vika
new0184.png,BONE,BoNE
new0185.png,AND,AND
new0186.png,HARMONY,HARMONY
new0187.png,THUGS,THUGS
new0188.png,Hello,Hello
new0189.png,BEAUTY,BEAUTY
new0190.png,Hello,Helle
new0191.png,Kitty,Kitty
new0192.png,SPA,SPA
new0193.png,Kitty,Hay
new0194.png,ATELIER,ATELER
new0195.png,kitten,killn
new0196.png,Helvetica,Helvetica
new0197.png,Eighteen,Eightsen
new0198.png,NinE,Nive
new0199.png,forty,Sorty
new0200.png,-one,Jone
new0201.png,MONTANA,MUNTANA
